respondent_id,duration_seconds,batch,Q2_job_seeking,Q3_ai_experience,Q3_ai_exp_binary,Q8_manip_check,Q9_1_legitimacy,Q9_2_intention_apply,Q9_3_intention_withdraw,Q9_gap_apply_minus_legit,flag_straightline_rating,flag_always_same_side,flag_manip_fail,Age,Sex,Ethnicity simplified,Country of residence,Employment status,Student status
50,275,last_pilot,Yes,Yes,1,Varied,1,5,1,4,0,0,0,57,Female,White,United States,Other,No
51,436,last_pilot,Yes,No,0,Varied,1,1,5,0,0,0,0,30,Female,White,United States,Unemployed (and job seeking),No
52,215,last_pilot,Yes,Yes,1,Varied,2,4,2,2,0,0,0,26,Female,Asian,United States,Part-Time,No
53,172,last_pilot,Yes,Yes,1,Varied,2,2,4,0,0,0,0,42,Male,Asian,United States,Unemployed (and job seeking),No
54,350,last_pilot,Yes,Yes,1,Stayed the same,4,4,4,0,0,0,1,39,Male,White,United States,Unemployed (and job seeking),No
55,237,last_pilot,Yes,Yes,1,Not sure,4,4,2,0,0,0,1,42,Female,White,United States,Other,No
56,256,last_pilot,Yes,Yes,1,Varied,2,2,3,0,0,0,0,24,Female,Mixed,United States,Unemployed (and job seeking),No
57,194,last_pilot,Yes,Yes,1,Varied,2,3,2,1,0,0,0,39,Male,White,United States,Unemployed (and job seeking),No
58,500,last_pilot,Yes,No,0,Not sure,3,2,3,-1,0,0,1,49,Male,White,United States,Full-Time,No
59,155,last_pilot,Yes,Yes,1,Varied,2,2,3,0,0,0,0,34,Female,White,United States,Full-Time,No
60,318,last_pilot,Yes,Yes,1,Varied,2,4,1,2,0,0,0,38,Female,White,United States,Unemployed (and job seeking),Yes
61,232,last_pilot,Yes,No,0,Stayed the same,3,4,4,1,0,0,1,19,Female,Black,United States,Full-Time,Yes
62,284,last_pilot,Yes,Yes,1,Varied,4,4,1,0,0,0,0,62,Male,Black,United States,Unemployed (and job seeking),No
63,373,last_pilot,Yes,Yes,1,Varied,1,4,2,3,0,0,0,53,Male,White,United States,Full-Time,No
64,470,last_pilot,Yes,Yes,1,Varied,1,5,1,4,0,0,0,31,Male,White,United States,Unemployed (and job seeking),Yes
65,202,last_pilot,Yes,Yes,1,Varied,4,3,4,-1,0,0,0,23,Female,Black,United States,Part-Time,No
66,137,last_pilot,Yes,Yes,1,Varied,3,4,1,1,0,0,0,36,Male,White,United States,Unemployed (and job seeking),No
67,196,last_pilot,Yes,Yes,1,Varied,2,2,4,0,0,0,0,53,Female,White,United States,Full-Time,No
68,300,last_pilot,Yes,Yes,1,Varied,2,2,5,0,0,0,0,38,Male,Mixed,United States,Unemployed (and job seeking),No
69,467,last_pilot,Yes,Yes,1,Varied,1,1,5,0,0,0,0,28,Male,Black,United States,Unemployed (and job seeking),No
70,527,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,28,Male,White,United States,Full-Time,No
71,318,last_pilot,Yes,Not sure,0,Varied,4,4,2,0,0,0,0,58,Female,White,United States,Full-Time,No
72,196,last_pilot,Yes,No,0,Varied,4,5,2,1,0,0,0,22,Male,Black,United States,Part-Time,Yes
73,666,last_pilot,Yes,Yes,1,Varied,4,3,2,-1,0,0,0,51,Female,Black,United States,Part-Time,No
74,493,last_pilot,Yes,Yes,1,Stayed the same,5,5,5,0,0,0,1,38,Female,Black,United States,Full-Time,No
75,187,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,47,Male,White,United States,Unemployed (and job seeking),No
76,356,last_pilot,Yes,Yes,1,Varied,2,2,4,0,0,0,0,26,Male,White,United States,Full-Time,No
77,240,last_pilot,Yes,Yes,1,Stayed the same,4,3,3,-1,0,0,1,24,Male,White,United States,Full-Time,No
78,277,last_pilot,Yes,Yes,1,Varied,3,3,3,0,0,0,0,37,Male,White,United States,Part-Time,No
79,198,last_pilot,Yes,Yes,1,Varied,1,2,4,1,0,0,0,34,Female,White,United States,Full-Time,No
80,210,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,39,Male,White,United States,Part-Time,No
81,259,last_pilot,Yes,Yes,1,Not sure,4,4,1,0,0,0,1,19,Female,Black,United States,Part-Time,Yes
82,669,last_pilot,Yes,Yes,1,Varied,2,3,2,1,0,0,0,19,Female,White,United States,Unemployed (and job seeking),No
83,282,last_pilot,Yes,Yes,1,Varied,1,2,4,1,0,0,0,32,Male,Asian,United States,Full-Time,No
84,391,last_pilot,Yes,Not sure,0,Varied,4,4,2,0,0,0,0,60,Female,White,United States,Unemployed (and job seeking),No
85,182,last_pilot,Yes,Yes,1,Varied,2,4,2,2,0,0,0,25,Male,White,United States,Unemployed (and job seeking),No
86,389,last_pilot,Yes,Yes,1,Varied,4,3,2,-1,0,0,0,24,Female,Black,United States,Part-Time,No
87,385,last_pilot,Yes,No,0,Varied,4,4,2,0,0,0,0,36,Female,White,United States,Part-Time,No
88,177,last_pilot,Yes,Yes,1,Varied,1,1,5,0,0,0,0,36,Male,White,United States,Due to start a new job within the next month,No
89,209,last_pilot,Yes,Yes,1,Varied,1,3,3,2,1,0,0,36,Male,White,United States,Full-Time,No
90,179,last_pilot,Yes,Yes,1,Varied,2,2,4,0,0,0,0,58,Male,White,United States,Full-Time,No
91,402,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,32,Female,Black,United States,Part-Time,No
92,412,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,60,Female,White,United States,Full-Time,No
93,424,last_pilot,Yes,Yes,1,Varied,2,4,2,2,0,0,0,48,Female,White,United States,Full-Time,No
94,370,last_pilot,Yes,Yes,1,Varied,3,3,2,0,0,0,0,28,Female,White,United States,Unemployed (and job seeking),No
95,144,last_pilot,Yes,Yes,1,Varied,2,2,4,0,0,0,0,29,Male,Asian,United States,Unemployed (and job seeking),No
96,520,last_pilot,Yes,Yes,1,Varied,3,3,4,0,0,0,0,63,Female,Other,United States,Due to start a new job within the next month,No
97,334,last_pilot,Yes,Not sure,0,Varied,3,2,4,-1,0,0,0,29,Female,Asian,United States,Part-Time,No
98,299,last_pilot,Yes,Yes,1,Varied,2,2,4,0,0,0,0,35,Male,Mixed,United States,Unemployed (and job seeking),No
99,321,last_pilot,Yes,Yes,1,Varied,1,1,5,0,0,0,0,43,Female,Black,United States,Other,No
100,433,last_pilot,Yes,Not sure,0,Varied,3,3,2,0,0,0,0,29,Male,White,United States,Other,No
101,156,last_pilot,Yes,Yes,1,Varied,2,4,2,2,0,0,0,21,Female,Asian,United States,Unemployed (and job seeking),Yes
102,271,last_pilot,Yes,Yes,1,Varied,3,4,2,1,0,0,0,21,Male,Asian,United States,Part-Time,Yes
103,151,last_pilot,Yes,Yes,1,Varied,2,3,3,1,0,0,0,23,Male,White,United States,Due to start a new job within the next month,No
104,350,last_pilot,Yes,Yes,1,Varied,3,3,4,0,0,0,0,40,Female,Other,United States,Part-Time,No
105,208,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,37,Male,White,United States,Full-Time,Yes
106,259,last_pilot,Yes,Yes,1,Varied,2,3,2,1,0,0,0,42,Male,White,United States,Unemployed (and job seeking),No
107,170,last_pilot,Yes,Yes,1,Varied,2,3,2,1,0,0,0,36,Male,White,United States,Full-Time,No
108,229,last_pilot,Yes,Yes,1,Varied,2,3,2,1,0,0,0,44,Male,White,United States,Full-Time,No
109,309,last_pilot,Yes,Not sure,0,Varied,2,3,3,1,0,0,0,21,Male,White,United States,Part-Time,No
110,488,last_pilot,Yes,Yes,1,Varied,2,3,3,1,0,0,0,41,Female,White,United States,Unemployed (and job seeking),No
111,316,last_pilot,Yes,Yes,1,Varied,3,3,2,0,0,0,0,42,Male,Mixed,United States,Part-Time,No
112,384,last_pilot,Yes,Yes,1,Varied,2,2,3,0,0,0,0,51,Female,White,United States,Full-Time,No
113,116,last_pilot,Yes,Yes,1,Varied,3,4,1,1,0,0,0,32,Female,White,United States,Unemployed (and job seeking),No
114,331,last_pilot,Yes,Not sure,0,Varied,1,1,5,0,0,0,0,27,Male,Mixed,United States,Full-Time,Yes
115,495,last_pilot,Yes,Yes,1,Varied,3,3,2,0,0,0,0,42,Female,White,United States,DATA_EXPIRED,DATA_EXPIRED
116,336,last_pilot,Yes,Yes,1,Varied,3,4,2,1,0,0,0,29,Female,Mixed,United States,Full-Time,No
117,219,last_pilot,Yes,Yes,1,Varied,3,4,2,1,0,0,0,42,Male,White,United States,Unemployed (and job seeking),No
118,303,last_pilot,Yes,Yes,1,Varied,4,4,3,0,0,0,0,37,Male,White,United States,Part-Time,No
119,251,last_pilot,Yes,Yes,1,Varied,2,2,4,0,0,0,0,27,Female,Mixed,United States,Full-Time,No
120,621,last_pilot,Yes,Yes,1,Not sure,4,4,2,0,0,0,1,44,Male,White,United States,Part-Time,No
121,529,last_pilot,Yes,Not sure,0,Varied,4,4,2,0,0,0,0,35,Female,White,United States,Unemployed (and job seeking),No
122,228,last_pilot,Yes,Yes,1,Varied,3,4,2,1,0,0,0,41,Female,White,United States,Part-Time,No
123,378,last_pilot,Yes,No,0,Varied,3,2,3,-1,0,0,0,39,Female,Mixed,United States,Other,No
124,219,last_pilot,Yes,Yes,1,Varied,1,1,2,0,0,0,0,39,Male,White,United States,Part-Time,No
125,276,last_pilot,Yes,Yes,1,Varied,3,4,2,1,0,0,0,40,Male,White,United States,Unemployed (and job seeking),No
126,182,last_pilot,Yes,Yes,1,Varied,2,1,5,-1,0,0,0,21,Female,White,United States,Unemployed (and job seeking),No
127,589,last_pilot,Yes,Yes,1,Varied,4,5,1,1,0,0,0,35,Male,Black,United States,Part-Time,Yes
128,166,last_pilot,Yes,Yes,1,Varied,1,4,1,3,0,0,0,18,Male,Asian,United States,Unemployed (and job seeking),Yes
129,711,last_pilot,Yes,Yes,1,Varied,3,4,2,1,0,0,0,28,Male,Prefer not to say,United States,Other,Yes
130,446,last_pilot,Yes,Yes,1,Varied,4,4,4,0,0,0,0,53,Male,White,United States,Part-Time,No
131,614,last_pilot,Yes,Yes,1,Varied,3,3,1,0,0,0,0,57,Female,White,United States,Unemployed (and job seeking),No
132,181,last_pilot,Yes,Yes,1,Varied,4,5,2,1,0,0,0,27,Male,White,United States,Unemployed (and job seeking),No
133,374,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,25,Female,White,United States,Full-Time,No
134,259,last_pilot,Yes,Yes,1,Varied,3,4,3,1,0,0,0,30,Male,Other,United States,Other,No
135,246,last_pilot,Yes,Yes,1,Varied,2,1,5,-1,1,0,0,36,Female,Other,United States,Other,Yes
136,314,last_pilot,Yes,Yes,1,Varied,4,5,3,1,0,0,0,38,Female,White,United States,Full-Time,No
137,211,last_pilot,Yes,Yes,1,Varied,1,1,2,0,0,0,0,19,Female,Asian,United States,Unemployed (and job seeking),Yes
138,467,last_pilot,Yes,Yes,1,Varied,1,1,3,0,0,0,0,28,Female,Mixed,United States,DATA_EXPIRED,No
139,251,last_pilot,Yes,No,0,Stayed the same,4,4,2,0,1,0,1,58,Female,White,United States,Other,No
140,498,last_pilot,Yes,Yes,1,Varied,4,3,3,-1,0,0,0,32,Male,Other,United States,Other,No
141,273,last_pilot,Yes,Yes,1,Varied,4,4,1,0,0,0,0,47,Male,White,United States,Unemployed (and job seeking),No
142,205,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,56,Male,White,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",No
143,355,last_pilot,Yes,Yes,1,Varied,4,5,1,1,0,0,0,36,Female,Black,United States,Unemployed (and job seeking),No
144,310,last_pilot,Yes,Yes,1,Varied,1,4,2,3,0,0,0,31,Female,White,United States,Unemployed (and job seeking),No
145,1009,last_pilot,Yes,Yes,1,Varied,3,3,3,0,0,0,0,32,Male,Black,United States,Full-Time,No
146,346,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,27,Male,Asian,United States,Unemployed (and job seeking),No
147,193,last_pilot,Yes,Yes,1,Varied,3,4,1,1,0,0,0,46,Female,White,United States,Full-Time,No
148,303,last_pilot,Yes,Not sure,0,Varied,4,4,2,0,0,0,0,60,Female,White,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",No
149,588,last_pilot,Yes,Yes,1,Varied,4,3,3,-1,0,0,0,32,Male,Other,United States,Full-Time,No
150,150,last_pilot,Yes,Yes,1,Varied,4,4,2,0,0,0,0,33,Male,Asian,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",No
151,144,main_study,Yes,Yes,1,Varied,3,4,5,1,0,0,0,26,Female,Black,United States,Unemployed (and job seeking),No
152,285,main_study,Yes,Yes,1,Varied,3,3,2,0,0,0,0,52,Male,Black,United States,Unemployed (and job seeking),No
153,205,main_study,Yes,Yes,1,Varied,2,2,3,0,0,0,0,41,Male,White,United States,Unemployed (and job seeking),No
154,498,main_study,Yes,Yes,1,Varied,3,2,4,-1,0,0,0,34,Female,Other,United States,Unemployed (and job seeking),No
155,926,main_study,Yes,Yes,1,Varied,3,4,2,1,0,0,0,29,Female,Black,United States,Unemployed (and job seeking),No
156,246,main_study,Yes,Yes,1,Varied,2,4,2,2,0,0,0,46,Female,White,United States,Unemployed (and job seeking),No
157,573,main_study,Yes,Yes,1,Varied,4,4,2,0,0,0,0,45,Male,White,United States,Unemployed (and job seeking),No
158,167,main_study,Yes,Yes,1,Varied,1,4,3,3,0,0,0,30,Male,Prefer not to say,United States,Other,No
159,330,main_study,Yes,Yes,1,Varied,2,4,1,2,0,0,0,35,Male,White,United States,Full-Time,No
160,359,main_study,Yes,Yes,1,Varied,3,3,2,0,0,0,0,26,Male,White,United States,Unemployed (and job seeking),No
161,161,main_study,Yes,Yes,1,Varied,4,4,3,0,0,0,0,37,Male,Mixed,United States,Full-Time,No
162,407,main_study,Yes,Yes,1,Varied,3,4,2,1,0,0,0,34,Female,Other,United States,Unemployed (and job seeking),No
163,257,main_study,Yes,Yes,1,Varied,3,3,2,0,0,0,0,23,Female,Other,United States,Unemployed (and job seeking),Yes
164,175,main_study,Yes,Yes,1,Varied,4,3,3,-1,0,0,0,73,Female,White,United States,Part-Time,No
165,252,main_study,Yes,No,0,Varied,4,3,3,-1,0,0,0,60,Male,Black,United States,Unemployed (and job seeking),No
166,338,main_study,Yes,No,0,Varied,1,2,3,1,0,0,0,22,Female,Black,United States,Part-Time,No
167,344,main_study,Yes,Not sure,0,Varied,3,3,2,0,0,0,0,26,Female,White,United States,Unemployed (and job seeking),No
168,395,main_study,Yes,Yes,1,Varied,4,3,2,-1,0,0,0,39,Female,Other,United States,Due to start a new job within the next month,No
169,176,main_study,Yes,Yes,1,Varied,2,2,4,0,0,0,0,35,Male,White,United States,Unemployed (and job seeking),No
170,325,main_study,Yes,Yes,1,Varied,4,3,2,-1,0,0,0,40,Female,Asian,United States,Full-Time,No
171,235,main_study,Yes,No,0,Varied,2,3,2,1,0,0,0,20,Male,White,United States,Unemployed (and job seeking),Yes
172,223,main_study,Yes,No,0,Varied,2,4,1,2,0,0,0,45,Male,White,United States,Full-Time,No
173,240,main_study,Yes,Yes,1,Varied,3,3,3,0,0,0,0,18,Prefer not to say,Black,United States,Unemployed (and job seeking),Yes
174,124,main_study,Yes,Yes,1,Varied,4,5,2,1,0,0,0,23,Female,White,United States,Full-Time,Yes
175,483,main_study,Yes,Not sure,0,Varied,4,4,2,0,0,0,0,36,Female,Black,United States,Unemployed (and job seeking),Yes
176,278,main_study,Yes,Yes,1,Varied,4,5,1,1,0,0,0,41,Female,Black,United States,Due to start a new job within the next month,No
177,958,main_study,Yes,Yes,1,Varied,4,4,2,0,0,0,0,40,Male,Black,United States,Full-Time,Yes
178,458,main_study,Yes,Not sure,0,Varied,3,5,1,2,0,0,0,21,Female,White,United States,Unemployed (and job seeking),No
179,160,main_study,Yes,Yes,1,Varied,3,3,3,0,0,0,0,41,Female,White,United States,Full-Time,No
180,386,main_study,Yes,Yes,1,Varied,1,5,1,4,0,0,0,40,Male,Mixed,United States,Full-Time,No
181,289,main_study,Yes,Yes,1,Varied,4,4,2,0,0,0,0,53,Male,Black,United States,Part-Time,No
182,360,main_study,Yes,Yes,1,Varied,3,3,1,0,0,0,0,42,Male,Black,United States,Unemployed (and job seeking),No
183,397,main_study,Yes,Yes,1,Varied,3,2,2,-1,0,0,0,44,Male,Black,United States,Unemployed (and job seeking),No
184,126,main_study,Yes,Yes,1,Varied,2,4,2,2,0,0,0,35,Male,White,United States,Unemployed (and job seeking),No
185,863,main_study,Yes,Yes,1,Varied,4,4,1,0,0,0,0,36,Female,Black,United States,Full-Time,No
186,219,main_study,Yes,Yes,1,Varied,3,5,1,2,0,0,0,51,Male,Asian,United States,Unemployed (and job seeking),No
187,216,main_study,Yes,Yes,1,Varied,4,4,2,0,0,0,0,44,Male,White,United States,Full-Time,No
188,387,main_study,Yes,Yes,1,Varied,3,4,2,1,0,0,0,44,Male,White,United States,Full-Time,No
189,342,main_study,Yes,Yes,1,Varied,2,3,3,1,0,0,0,48,Male,White,United States,Unemployed (and job seeking),No
190,268,main_study,Yes,Yes,1,Varied,3,4,2,1,0,0,0,39,Female,White,United States,Unemployed (and job seeking),No
191,554,main_study,Yes,Yes,1,Varied,2,3,4,1,0,0,0,48,Female,Black,United States,Part-Time,Yes
192,422,main_study,Yes,No,0,Varied,3,2,4,-1,0,0,0,50,Male,White,United States,Full-Time,No
193,146,main_study,Yes,No,0,Varied,3,4,2,1,0,0,0,33,Female,White,United States,Full-Time,No
194,277,main_study,Yes,Yes,1,Varied,2,2,4,0,0,0,0,48,Male,White,United States,Unemployed (and job seeking),No
195,628,main_study,Yes,Yes,1,Varied,4,5,1,1,0,0,0,56,Male,Prefer not to say,United States,Unemployed (and job seeking),No
196,296,main_study,Yes,No,0,Varied,2,2,4,0,0,0,0,32,Female,White,United States,Full-Time,DATA_EXPIRED
197,336,main_study,Yes,Yes,1,Stayed the same,3,4,2,1,0,0,1,24,DATA_EXPIRED,Prefer not to say,United States,Unemployed (and job seeking),Yes
198,165,main_study,Yes,No,0,Varied,2,2,4,0,0,0,0,25,Female,Asian,United States,DATA_EXPIRED,No
199,568,main_study,Yes,Yes,1,Varied,5,4,2,-1,0,0,0,39,Male,White,United States,Unemployed (and job seeking),No
200,104,main_study,Yes,Yes,1,Varied,4,4,2,0,0,0,0,35,Male,Asian,United States,Full-Time,No
201,293,main_study,Yes,Yes,1,Varied,1,1,5,0,0,0,0,58,Female,White,United States,Unemployed (and job seeking),No
202,340,main_study,Yes,Yes,1,Varied,5,5,1,0,0,0,0,28,Male,Black,United States,Part-Time,No
203,206,main_study,Yes,Yes,1,Varied,4,3,3,-1,0,0,0,26,Male,Prefer not to say,United States,Part-Time,No
204,546,main_study,Yes,Yes,1,Varied,3,2,3,-1,0,0,0,38,Female,Asian,United States,Other,No
205,317,main_study,Yes,No,0,Varied,2,2,3,0,0,0,0,34,Female,White,United States,Full-Time,Yes
206,319,main_study,Yes,Yes,1,Varied,3,4,2,1,0,0,0,42,Male,Black,United States,Part-Time,No
207,216,main_study,Yes,Yes,1,Varied,3,3,3,0,0,0,0,30,Male,White,United States,Full-Time,No
208,206,main_study,Yes,Yes,1,Varied,2,4,2,2,1,0,0,43,Female,White,United States,Part-Time,No
209,338,main_study,Yes,Yes,1,Varied,3,4,2,1,0,0,0,45,Female,Black,United States,Other,Yes
210,225,main_study,Yes,Yes,1,Varied,2,2,4,0,0,0,0,26,Male,White,United States,Full-Time,Yes
211,280,main_study,Yes,No,0,Varied,4,5,2,1,0,0,0,56,Male,Black,United States,Full-Time,No
212,171,main_study,Yes,Not sure,0,Varied,3,3,3,0,0,0,0,26,Female,White,United States,Unemployed (and job seeking),No
213,316,main_study,Yes,Not sure,0,Varied,5,3,3,-2,0,0,0,18,Male,White,United States,Unemployed (and job seeking),No
214,437,main_study,Yes,Not sure,0,Varied,2,3,3,1,0,0,0,61,Female,White,United States,Full-Time,No
215,384,main_study,Yes,Yes,1,Varied,4,4,2,0,0,0,0,27,Female,Black,United States,Unemployed (and job seeking),Yes
216,443,main_study,Yes,Yes,1,Varied,1,1,2,0,0,0,0,33,Male,White,United States,Unemployed (and job seeking),No
217,584,main_study,Yes,Yes,1,Varied,3,4,2,1,0,0,0,39,Male,White,United States,Part-Time,No
218,127,main_study,Yes,Yes,1,Varied,4,4,5,0,0,0,0,27,Female,Black,United States,Part-Time,No
219,460,main_study,Yes,Yes,1,Varied,3,4,2,1,0,0,0,38,Male,Other,United States,Part-Time,No
220,351,main_study,Yes,Yes,1,Varied,1,3,2,2,0,0,0,37,Male,White,United States,Full-Time,Yes
221,219,main_study,Yes,Yes,1,Varied,3,3,3,0,0,0,0,35,Male,Asian,United States,Unemployed (and job seeking),No
222,342,main_study,Yes,Not sure,0,Varied,3,4,2,1,0,0,0,33,Male,Mixed,United States,Unemployed (and job seeking),No
223,213,main_study,Yes,Yes,1,Varied,1,3,3,2,1,0,0,43,Male,Prefer not to say,United States,Unemployed (and job seeking),No
224,419,main_study,Yes,Yes,1,Varied,2,2,3,0,0,0,0,27,Male,Black,United States,Part-Time,No
225,165,main_study,Yes,Yes,1,Varied,1,1,2,0,0,0,0,30,Female,White,United States,Part-Time,No
226,275,main_study,Yes,Yes,1,Varied,2,4,3,2,0,0,0,55,Female,White,United States,Due to start a new job within the next month,No
227,175,main_study,Yes,Yes,1,Varied,4,4,1,0,0,0,0,34,Female,White,United States,Full-Time,No
228,448,main_study,Yes,Yes,1,Varied,2,2,3,0,0,0,0,34,Female,White,United States,Full-Time,Yes
